Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Jarrett Culver,182.0,,,,,5813640.0,6104280.0
Alec Burks,183.0,9213484.0,9904495.0,10845506.0,11536515.0,2320044.0,6000000.0
Ishmael Smith,184.0,1100602.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Mo Bamba,185.0,,,,4871280.0,5697600.0,5969040.0
Onyeka Okongwu,186.0,,,,,,5813640.0
Justin Holiday,187.0,947276.0,1015696.0,4500000.0,4500000.0,4767000.0,5720400.0
Dennis Smith,188.0,,,3218280.0,3819960.0,4463640.0,5686677.0
Avery Bradley,189.0,7730337.0,8269663.0,8808989.0,12000000.0,4767000.0,5635000.0
Timofey Mozgov,190.0,4950000.0,16000000.0,15280000.0,16000000.0,,5573333.0
Coby White,191.0,,,,,5307120.0,5572680.0
Trey Lyles,192.0,2239800.0,2340600.0,2441400.0,3364249.0,5500000.0,5500000.0
Wendell Carter,193.0,,,,4446840.0,5201400.0,5448840.0
Zach Collins,194.0,,,3057240.0,3628920.0,4240200.0,5406255.0
Malik Monk,195.0,,,2904480.0,3447480.0,4028400.0,5345687.0
Killian Hayes,196.0,,,,,,5307120.0
Luke Kennard,197.0,,,2759280.0,3275280.0,3827160.0,5273826.0
Ryan Anderson,198.0,8500000.0,18735364.0,19578455.0,20421546.0,,5214583.0
Donovan Mitchell,199.0,,,2621280.0,3111480.0,3635760.0,5195501.0
Rodney McGruder,200.0,,543471.0,1312611.0,1544951.0,4807693.0,5192307.0
Bam Adebayo,201.0,,,2490360.0,2955840.0,3454080.0,5115492.0
Justin Jackson,202.0,,,2365560.0,2807880.0,3280920.0,5109637.0
Jaxson Hayes,203.0,,,,,4862040.0,5105160.0
Ed Davis,204.0,6980802.0,6666667.0,6352531.0,4449000.0,4767000.0,5005350.0
Mike Scott,205.0,3333333.0,3333333.0,1709538.0,4320500.0,4767000.0,5005350.0
Enes Kanter,206.0,16407500.0,17145838.0,17884176.0,19264603.0,4767000.0,5005350.0
Richaun Holmes,207.0,1075000.0,1024000.0,1471382.0,1600520.0,4767000.0,5005350.0
Daniel Theis,208.0,,,815615.0,1378242.0,5000000.0,5000000.0
Luol Deng,209.0,10151612.0,18000000.0,17190000.0,16747954.0,5000000.0,5000000.0
Nerlens Noel,210.0,3457800.0,4384490.0,4187599.0,1757429.0,1882867.0,5000000.0
Collin Sexton,211.0,,,,4073760.0,4764960.0,4991880.0
Pat Connaughton,212.0,625093.0,874636.0,1471382.0,1641000.0,1723050.0,4938273.0
Obi Toppin,213.0,,,,,,4862040.0
Kevon Looney,214.0,1131960.0,1182840.0,1471382.0,1567007.0,4464286.0,4821429.0
Josh Jackson,215.0,,,5090040.0,6041520.0,7059480.0,4767000.0
Elfrid Payton,216.0,2505720.0,2613600.0,3332340.0,3000000.0,8000000.0,4767000.0
Garrett Temple,217.0,1100602.0,8000000.0,8000000.0,8000000.0,4767000.0,4767000.0
Kris Dunn,218.0,,3872520.0,4046760.0,4221000.0,5348007.0,4767000.0
Rui Hachimura,219.0,,,,,4469160.0,4692840.0
Denzel Valentine,220.0,,2092200.0,2186400.0,2280600.0,3377568.0,4642800.0
Kevin Knox,221.0,,,,3744840.0,4380120.0,4588680.0
DJ Wilson,222.0,,,2135040.0,2534280.0,2961120.0,4548280.0
Deni Avdija,223.0,,,,,,4469160.0
Cam Reddish,224.0,,,,,4245720.0,4458000.0
TJ Leaf,225.0,,,2028360.0,2407560.0,2813280.0,4431423.0
Mikal Bridges,226.0,,,,3557400.0,4161000.0,4359000.0
Jalen Smith,227.0,,,,,,4245720.0
Cameron Johnson,228.0,,,,,4033440.0,4235160.0
JaVale McGee,229.0,13270964.0,1403611.0,2116955.0,2393887.0,4000000.0,4200000.0
Reggie Bullock,230.0,1252400.0,2255644.0,2500000.0,2500000.0,4000000.0,4200000.0
Shai Gilgeous-Alexander,231.0,,,,3375360.0,3952920.0,4141320.0
John Collins,232.0,,,1936920.0,2299080.0,2686560.0,4137302.0
Willie Cauley-Stein,233.0,3398280.0,3551160.0,3704160.0,4696874.0,2177483.0,4100000.0
Devin Vassell,234.0,,,,,,4033440.0
PJ Washington,235.0,,,,,3831840.0,4023600.0
Dorian Finney-Smith,236.0,,543471.0,1312611.0,1544951.0,4000000.0,4000000.0
Patrick McCaw,237.0,,543471.0,1312611.0,964104.0,4000000.0,4000000.0
Alex Len,238.0,3807120.0,4823621.0,4187599.0,4350000.0,4160000.0,3970648.0
Terrance Ferguson,239.0,,,1785000.0,2118840.0,2475840.0,3944013.0
Miles Bridges,240.0,,,,3206640.0,3755400.0,3934320.0
Austin Rivers,241.0,3110796.0,11000000.0,11825000.0,13155324.0,2174310.0,3929049.0
Jevon Carter,242.0,,,,838464.0,1416852.0,3925000.0
Jarrett Allen,243.0,,,1713720.0,2034120.0,2376840.0,3909902.0
Nicolo Melli,244.0,,,,,4102564.0,3897436.0
OG Anunoby,245.0,,,1645200.0,1952760.0,2281800.0,3872215.0
Gabriel Deck,246.0,,,,,,3870370.0
Tyrese Haliburton,247.0,,,,,,3831840.0
Tyler Herro,248.0,,,,,3640200.0,3822240.0
Patrick Patterson,249.0,6268675.0,6050000.0,5192000.0,5451600.0,2331593.0,3814771.0
Stanley Johnson,250.0,2841960.0,2969880.0,3097800.0,3940401.0,3623000.0,3804150.0
Jake Layman,251.0,,600000.0,1312611.0,1544951.0,3581986.0,3761085.0
Jerome Robinson,252.0,,,,3050160.0,3567720.0,3737520.0
Danuel House,253.0,,543471.0,77250.0,247827.0,3540000.0,3717000.0
Kira Lewis,254.0,,,,,,3640200.0
Romeo Langford,255.0,,,,,3458400.0,3631200.0
Wesley Matthews,256.0,16407500.0,17145838.0,17884175.0,19360228.0,2564753.0,3623000.0
Bobby Portis,257.0,1344120.0,1404600.0,1516320.0,2494346.0,15000000.0,3623000.0
Moe Harkless,258.0,2894058.0,8988764.0,10662922.0,10837079.0,11011234.0,3623000.0
Wayne Ellington,259.0,1500000.0,6000000.0,6270000.0,8653076.0,8000000.0,3564753.0
Kyle Kuzma,260.0,,,1423560.0,1689840.0,1974600.0,3562178.0
Michael Porter,261.0,,,,2894160.0,3389400.0,3550800.0
Tony Bradley,262.0,,,1414920.0,1679520.0,1962360.0,3542060.0
Derrick White,263.0,,,1404600.0,1667160.0,1948080.0,3516284.0
Bismack Biyombo,264.0,2814000.0,17000000.0,17000000.0,17000000.0,17000000.0,3500000.0
Boban Marjanovic,265.0,1200000.0,5628000.0,5881260.0,9490740.0,3500000.0,3500000.0
TJ McConnell,266.0,525093.0,874636.0,1471382.0,1600520.0,3500000.0,3500000.0
Luca Vildoza,267.0,,,,,,3500000.0
Josh Hart,268.0,,,1394520.0,1655160.0,1934160.0,3491159.0
Aaron Nesmith,269.0,,,,,,3458400.0
Sekou Doumbouya,270.0,,,,,3285120.0,3449400.0
Dewayne Dedmon,271.0,947276.0,2898000.0,6900000.0,6300000.0,13333334.0,3447478.0
Troy Brown,272.0,,,,2752680.0,3219480.0,3372840.0
Jeff Teague,273.0,8000000.0,8000000.0,19000000.0,19000000.0,19000000.0,3372826.0
Michael Carter-Williams,274.0,2399040.0,3183526.0,2700000.0,1468082.0,2028594.0,3300000.0
James Ennis,275.0,944477.0,2898000.0,3028410.0,1621415.0,1882867.0,3300000.0
Cole Anthony,276.0,,,,,,3285120.0
Taj Gibson,277.0,8500000.0,8950000.0,14000000.0,14000000.0,9000000.0,3283684.0
Facundo Campazzo,278.0,,,,,,3200000.0
Jon Leuer,279.0,1035000.0,10991957.0,10497319.0,10002681.0,,3169348.0
Chuma Okeke,280.0,,,,,,3121080.0
Isaiah Stewart,281.0,,,,,,3121080.0
Nickeil Alexander-Walker,282.0,,,,,2964840.0,3113160.0
DeMarcus Cousins,283.0,14728844.0,15756438.0,18063850.0,5337000.0,3500000.0,3051832.0
Donte DiVincenzo,284.0,,,,2484360.0,2905800.0,3044160.0
Khem Birch,285.0,,,815615.0,1378242.0,3000000.0,3011499.0
